gender,age,Investment_Avenues,Mutual_Funds,Equity_Market,Government_Bonds,Fixed_Deposits,PPF,Gold,Stock_Marktet,Expect,Avenue,Reason_Equity,Reason_Mutual,Reason_Bonds,Reason_FD,Source
Female,34,Yes,1,2,3,7,6,4,Yes,20%-30%,Mutual Fund,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Newspapers and Magazines
Female,23,Yes,4,3,1,5,6,7,No,20%-30%,Mutual Fund,Dividend,Better Returns,Safe Investment,High Interest Rates,Financial Consultants
Male,30,Yes,3,6,2,5,1,7,Yes,20%-30%,Equity,Capital Appreciation,Tax Benefits,Assured Returns,Fixed Returns,Television
Male,22,Yes,2,1,7,6,4,5,Yes,10%-20%,Equity,Dividend,Fund Diversification,Tax Incentives,High Interest Rates,Internet
Female,24,No,2,1,6,4,5,7,No,20%-30%,Equity,Capital Appreciation,Better Returns,Safe Investment,Risk Free,Internet
Female,24,No,7,5,6,3,1,2,No,30%-40%,Mutual Fund,Liquidity,Fund Diversification,Safe Investment,Risk Free,Internet
Female,27,Yes,3,6,2,5,1,7,Yes,20%-30%,Equity,Capital Appreciation,Better Returns,Assured Returns,High Interest Rates,Financial Consultants
Male,21,Yes,2,3,4,6,1,5,Yes,20%-30%,Mutual Fund,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines
Male,35,Yes,2,4,5,3,1,6,Yes,20%-30%,Equity,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television
Male,31,Yes,1,3,4,5,2,6,Yes,30%-40%,Fixed Deposits,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines
Female,35,Yes,2,4,5,3,1,6,Yes,20%-30%,Mutual Fund,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants
Male,29,Yes,2,5,6,3,1,4,Yes,20%-30%,Mutual Fund,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Financial Consultants
Female,21,No,1,2,4,5,6,7,No,20%-30%,Mutual Fund,Dividend,Better Returns,Safe Investment,Risk Free,Internet
Female,28,Yes,2,3,4,5,1,6,Yes,20%-30%,Mutual Fund,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines
Female,25,Yes,2,3,5,4,1,6,Yes,20%-30%,Fixed Deposits,Dividend,Better Returns,Assured Returns,Risk Free,Financial Consultants
Male,27,Yes,2,3,5,4,1,6,Yes,20%-30%,Mutual Fund,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines
Female,28,Yes,3,2,5,4,1,6,Yes,20%-30%,Fixed Deposits,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Television
Male,27,Yes,3,2,4,5,1,6,Yes,20%-30%,Mutual Fund,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants
Male,29,Yes,3,2,4,5,1,6,Yes,20%-30%,Mutual Fund,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines
Male,26,Yes,3,4,5,1,2,7,Yes,20%-30%,Fixed Deposits,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines
Male,29,Yes,2,4,5,3,1,6,Yes,20%-30%,Mutual Fund,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants
Female,24,Yes,2,4,6,3,1,7,Yes,20%-30%,Equity,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines
Male,27,Yes,3,4,5,2,1,7,Yes,20%-30%,Mutual Fund,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants
Male,25,Yes,2,4,5,3,1,7,Yes,20%-30%,Public Provident Fund,Liquidity,Better Returns,Assured Returns,Risk Free,Financial Consultants
Female,26,Yes,2,3,5,4,1,6,Yes,30%-40%,Public Provident Fund,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines
Female,32,Yes,3,4,5,1,2,6,Yes,20%-30%,Mutual Fund,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants
